Sample in Buffer,Sample in Window,TRIGGER,openaars_virtual_top/dbg_pc[31:0],openaars_virtual_top/tg68_adr[31:0],openaars_virtual_top/tg68_dat_in[15:0],openaars_virtual_top/tg68_dat_out[15:0],openaars_virtual_top/g_cpu040_ila.bus_ctl[3:0],openaars_virtual_top/dbg_flags[3:0],openaars_virtual_top/dbg_ir[15:0],openaars_virtual_top/tg68_cpustate_1[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,4022952a,00dff01e,0040,14da,f,1,2028,25
1,1,0,4022952a,00dff01e,0040,14da,f,0,2028,1d
2,2,0,4022952a,00dff01e,0040,14da,f,0,2028,1d
3,3,0,4022952a,00dff01e,0040,14da,f,0,2028,0d
4,4,0,4022952a,00dff01e,0040,14da,f,0,2028,25
5,5,0,4022952a,00dff01e,0040,14da,f,0,2028,1d
6,6,0,4022952a,00dff01e,0040,14da,f,0,2028,1d
7,7,0,4022952a,00dff01e,0040,14da,f,0,2028,0d
8,8,0,4022952a,00dff01e,0040,14da,f,0,2028,25
9,9,0,4022952a,00dff01e,0040,14da,f,0,2028,1d
10,10,0,4022952a,00dff01e,0040,14da,f,0,2028,1d
11,11,0,4022952a,00dff01e,0040,14da,f,0,2028,0d
12,12,0,4022952a,00dff01e,0040,14da,f,0,2028,25
13,13,0,4022952c,00dff01e,0040,14da,f,0,4881,1d
14,14,0,4022952c,00dff01e,0040,14da,f,0,4881,1d
15,15,0,4022952c,00dff01e,0040,14da,f,0,4881,0d
16,16,0,4022952c,00dff01e,0040,14da,f,0,4881,25
17,17,0,4022952c,00dff01e,0040,14da,f,1,4881,1d
18,18,0,4022952c,00dff01e,0040,14da,f,1,4881,1d
19,19,0,4022952c,00dff01e,0040,14da,f,1,4881,0d
20,20,0,4022952c,00dff01e,0040,14da,f,1,4881,25
21,21,0,4022952c,00dff01e,0040,14da,f,1,4881,1d
22,22,0,4022952c,00dff01e,0040,14da,f,1,4881,1d
23,23,0,4022952c,00dff01e,0040,14da,f,1,4881,0d
24,24,0,4022952c,00dff01e,0040,14da,f,1,4881,25
25,25,0,4022952c,00dff01e,0040,14da,f,1,4881,1d
26,26,0,4022952c,00dff01e,0040,14da,f,1,4881,1d
27,27,0,4022952c,00dff01e,0040,14da,f,1,4881,0d
28,28,0,4022952c,00dff01e,0040,14da,f,1,4881,25
29,29,0,4022952c,00dff01e,0040,14da,f,0,4881,1d
30,30,0,4022952c,00dff01e,0040,14da,f,0,4881,1d
31,31,0,4022952c,00dff01e,0040,14da,f,0,4881,0d
32,32,0,4022952c,00dff01e,0040,14da,f,0,4881,25
33,33,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
34,34,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
35,35,0,4022952e,00dff01e,0040,14da,f,0,48c1,0d
36,36,0,4022952e,00dff01e,0040,14da,f,0,48c1,25
37,37,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
38,38,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
39,39,0,4022952e,00dff01e,0040,14da,f,0,48c1,0d
40,40,0,4022952e,00dff01e,0040,14da,f,0,48c1,25
41,41,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
42,42,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
43,43,0,4022952e,00dff01e,0040,14da,f,0,48c1,0d
44,44,0,4022952e,00dff01e,0040,14da,f,0,48c1,25
45,45,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
46,46,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
47,47,0,4022952e,00dff01e,0040,14da,f,0,48c1,0d
48,48,0,4022952e,00dff01e,0040,14da,f,0,48c1,25
49,49,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
50,50,0,4022952e,00dff01e,0040,14da,f,0,48c1,1d
51,51,0,4022952e,00dff01e,0040,14da,f,0,48c1,0d
52,52,0,4022952e,00dff01e,0040,14da,f,0,48c1,25
53,53,0,40229530,00dff01e,0040,14da,f,0,2028,1d
54,54,0,40229530,00dff01e,0040,14da,f,0,2028,1d
55,55,0,40229530,00dff01e,0040,14da,f,0,2028,0d
56,56,0,40229530,00dff01e,0040,14da,f,0,2028,25
57,57,0,40229530,00dff01e,0040,14da,f,1,2028,1d
58,58,0,40229530,00dff01e,0040,14da,f,1,2028,1d
59,59,0,40229530,00dff01e,0040,14da,f,1,2028,0d
60,60,0,40229530,00dff01e,0040,14da,f,1,2028,25
61,61,0,40229530,00dff01e,0040,14da,f,1,2028,1d
62,62,0,40229530,00dff01e,0040,14da,f,1,2028,1d
63,63,0,40229530,00dff01e,0040,14da,f,1,2028,0d
64,64,0,40229530,00dff01e,0040,14da,f,1,2028,25
65,65,0,40229530,00dff01e,0040,14da,f,1,2028,1d
66,66,0,40229530,00dff01e,0040,14da,f,1,2028,1d
67,67,0,40229530,00dff01e,0040,14da,f,1,2028,0d
68,68,0,40229530,00dff01e,0040,14da,f,1,2028,25
69,69,0,40229532,00dff01e,0040,14da,f,0,2028,1d
70,70,0,40229532,00dff01e,0040,14da,f,0,2028,1d
71,71,0,40229532,00dff01e,0040,14da,f,0,2028,0d
72,72,0,40229532,00dff01e,0040,14da,f,0,2028,25
73,73,0,40229532,00dff01e,0040,14da,f,0,2028,1d
74,74,0,40229532,00dff01e,0040,14da,f,0,2028,1d
75,75,0,40229532,00dff01e,0040,14da,f,0,2028,0d
76,76,0,40229532,00dff01e,0040,14da,f,0,2028,25
77,77,0,40229532,00dff01e,0040,14da,f,0,2028,1d
78,78,0,40229532,00dff01e,0040,14da,f,0,2028,1d
79,79,0,40229532,00dff01e,0040,14da,f,0,2028,0d
80,80,0,40229532,00dff01e,0040,14da,f,0,2028,25
81,81,0,40229532,00dff01e,0040,14da,f,1,2028,1d
82,82,0,40229532,00dff01e,0040,14da,f,1,2028,1d
83,83,0,40229532,00dff01e,0040,14da,f,1,2028,0d
84,84,0,40229532,00dff01e,0040,14da,f,1,2028,25
85,85,0,40229532,00dff01e,0040,14da,f,1,2028,1d
86,86,0,40229532,00dff01e,0040,14da,f,1,2028,1d
87,87,0,40229532,00dff01e,0040,14da,f,1,2028,0d
88,88,0,40229532,00dff01e,0040,14da,f,1,2028,25
89,89,0,40229532,00dff01e,0040,14da,f,1,2028,1d
90,90,0,40229532,00dff01e,0040,14da,f,1,2028,1d
91,91,0,40229532,00dff01e,0040,14da,f,1,2028,0d
92,92,0,40229532,00dff01e,0040,14da,f,1,2028,25
93,93,0,40229532,00dff01e,0040,14da,f,0,2028,1d
94,94,0,40229532,00dff01e,0040,14da,f,0,2028,1d
95,95,0,40229532,00dff01e,0040,14da,f,0,2028,0d
96,96,0,40229532,00dff01e,0040,14da,f,0,2028,25
97,97,0,40229532,00dff01e,0040,14da,f,0,2028,1d
98,98,0,40229532,00dff01e,0040,14da,f,0,2028,1d
99,99,0,40229532,00dff01e,0040,14da,f,0,2028,0d
100,100,0,40229532,00dff01e,0040,14da,f,0,2028,25
101,101,0,40229532,00dff01e,0040,14da,f,0,2028,1d
102,102,0,40229532,00dff01e,0040,14da,f,0,2028,1d
103,103,0,40229532,00dff01e,0040,14da,f,0,2028,0d
104,104,0,40229532,00dff01e,0040,14da,f,0,2028,25
105,105,0,40229534,00dff01e,0040,14da,f,0,223c,1d
106,106,0,40229534,00dff01e,0040,14da,f,0,223c,1d
107,107,0,40229534,00dff01e,0040,14da,f,0,223c,0d
108,108,0,40229534,00dff01e,0040,14da,f,0,223c,25
109,109,0,40229534,00dff01e,0040,14da,f,1,223c,1d
110,110,0,40229534,00dff01e,0040,14da,f,1,223c,1d
111,111,0,40229534,00dff01e,0040,14da,f,1,223c,0d
112,112,0,40229534,00dff01e,0040,14da,f,1,223c,25
113,113,0,40229538,00dff01e,0040,14da,f,1,223c,1d
114,114,0,40229538,00dff01e,0040,14da,f,1,223c,1d
115,115,0,40229538,00dff01e,0040,14da,f,1,223c,0d
116,116,0,40229538,00dff01e,0040,14da,f,1,223c,25
117,117,0,40229538,00dff01e,0040,14da,f,1,223c,1d
118,118,0,40229538,00dff01e,0040,14da,f,1,223c,1d
119,119,0,40229538,00dff01e,0040,14da,f,1,223c,0d
120,120,0,40229538,00dff01e,0040,14da,f,1,223c,25
121,121,0,40229538,00dff01e,0040,14da,f,0,223c,1d
122,122,0,40229538,00dff01e,0040,14da,f,0,223c,1d
123,123,0,40229538,00dff01e,0040,14da,f,0,223c,0d
124,124,0,40229538,00dff01e,0040,14da,f,0,223c,25
125,125,0,40229538,00dff01e,0040,14da,f,1,223c,1d
126,126,0,40229538,00dff01e,0040,14da,f,1,223c,1d
127,127,0,40229538,00dff01e,0040,14da,f,1,223c,0d
128,128,0,40229538,00dff01e,0040,14da,f,1,223c,25
129,129,0,4022953a,00dff01e,0040,14da,f,1,2028,1d
130,130,0,4022953a,00dff01e,0040,14da,f,1,2028,1d
131,131,0,4022953a,00dff01e,0040,14da,f,1,2028,0d
132,132,0,4022953a,00dff01e,0040,14da,f,1,2028,25
133,133,0,4022953a,00dff01e,0040,14da,f,1,2028,1d
134,134,0,4022953a,00dff01e,0040,14da,f,1,2028,1d
135,135,0,4022953a,00dff01e,0040,14da,f,1,2028,0d
136,136,0,4022953a,00dff01e,0040,14da,f,1,2028,25
137,137,0,4022953a,00dff01e,0040,14da,f,0,2028,1d
138,138,0,4022953a,00dff01e,0040,14da,f,0,2028,1d
139,139,0,4022953a,00dff01e,0040,14da,f,0,2028,0d
140,140,0,4022953a,00dff01e,0040,14da,f,0,2028,25
141,141,0,4022953a,00dff01e,0040,14da,f,0,2028,1d
142,142,0,4022953a,00dff01e,0040,14da,f,0,2028,1d
143,143,0,4022953a,00dff01e,0040,14da,f,0,2028,0d
144,144,0,4022953a,00dff01e,0040,14da,f,0,2028,25
145,145,0,4022953c,00dff01e,0040,14da,f,0,2028,1d
146,146,0,4022953c,00dff01e,0040,14da,f,0,2028,1d
147,147,0,4022953c,00dff01e,0040,14da,f,0,2028,0d
148,148,0,4022953c,00dff01e,0040,14da,f,0,2028,25
149,149,0,4022953c,00dff01e,0040,14da,f,0,2028,1d
150,150,0,4022953c,00dff01e,0040,14da,f,0,2028,1d
151,151,0,4022953c,00dff01e,0040,14da,f,0,2028,0d
152,152,0,4022953c,00dff01e,0040,14da,f,0,2028,25
153,153,0,4022953c,00dff01e,0040,14da,f,0,2028,1d
154,154,0,4022953c,00dff01e,0040,14da,f,0,2028,1d
155,155,0,4022953c,00dff01e,0040,14da,f,0,2028,0d
156,156,0,4022953c,00dff01e,0040,14da,f,0,2028,25
157,157,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
158,158,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
159,159,0,4022953c,00dff01e,0040,14da,f,1,2028,0d
160,160,0,4022953c,00dff01e,0040,14da,f,1,2028,25
161,161,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
162,162,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
163,163,0,4022953c,00dff01e,0040,14da,f,1,2028,0d
164,164,0,4022953c,00dff01e,0040,14da,f,1,2028,25
165,165,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
166,166,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
167,167,0,4022953c,00dff01e,0040,14da,f,1,2028,0d
168,168,0,4022953c,00dff01e,0040,14da,f,1,2028,25
169,169,0,4022953c,00dff01e,0040,14da,f,0,2028,1d
170,170,0,4022953c,00dff01e,0040,14da,f,0,2028,1d
171,171,0,4022953c,00dff01e,0040,14da,f,0,2028,0d
172,172,0,4022953c,00dff01e,0040,14da,f,0,2028,25
173,173,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
174,174,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
175,175,0,4022953c,00dff01e,0040,14da,f,1,2028,0d
176,176,0,4022953c,00dff01e,0040,14da,f,1,2028,25
177,177,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
178,178,0,4022953c,00dff01e,0040,14da,f,1,2028,1d
179,179,0,4022953c,00dff01e,0040,14da,f,1,2028,0d
180,180,0,4022953c,00dff01e,0040,14da,f,1,2028,25
181,181,0,4022953e,00dff01e,0040,14da,f,1,4841,1d
182,182,0,4022953e,00dff01e,0040,14da,f,1,4841,1d
183,183,0,4022953e,00dff01e,0040,14da,f,1,4841,0d
184,184,0,4022953e,00dff01e,0040,14da,f,1,4841,25
185,185,0,4022953e,00dff01e,0040,14da,f,0,4841,1d
186,186,0,4022953e,00dff01e,0040,14da,f,0,4841,1d
187,187,0,4022953e,00dff01e,0040,14da,f,0,4841,0d
188,188,0,4022953e,00dff01e,0040,14da,f,0,4841,25
189,189,0,4022953e,00dff01e,0040,14da,f,0,4841,1d
190,190,0,4022953e,00dff01e,0040,14da,f,0,4841,1d
191,191,0,4022953e,00dff01e,0040,14da,f,0,4841,0d
192,192,0,4022953e,00dff01e,0040,14da,f,0,4841,25
193,193,0,4022953e,00dff01e,0040,14da,f,0,4841,1d
194,194,0,4022953e,00dff01e,0040,14da,f,0,4841,1d
195,195,0,4022953e,00dff01e,0040,14da,f,0,4841,0d
196,196,0,4022953e,00dff01e,0040,14da,f,0,4841,25
197,197,0,4022953e,00dff01e,0040,14da,f,0,4841,1d
198,198,0,4022953e,00dff01e,0040,14da,f,0,4841,1d
199,199,0,4022953e,00dff01e,0040,14da,f,0,4841,0d
200,200,0,4022953e,00dff01e,0040,14da,f,0,4841,25
201,201,0,40229540,00dff01e,0040,14da,f,0,6100,1d
202,202,0,40229540,00dff01e,0040,14da,f,0,6100,1d
