Sample in Buffer,Sample in Window,TRIGGER,openaars_virtual_top/dbg_pc[31:0],openaars_virtual_top/tg68_adr[31:0],openaars_virtual_top/tg68_dat_in[15:0],openaars_virtual_top/tg68_dat_out[15:0],openaars_virtual_top/g_cpu040_ila.bus_ctl[3:0],openaars_virtual_top/dbg_flags[3:0],openaars_virtual_top/dbg_ir[15:0],openaars_virtual_top/tg68_cpustate_1[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,4022986a,00dff01e,0040,14da,f,0,4cde,1d
1,1,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
2,2,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
3,3,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
4,4,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
5,5,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
6,6,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
7,7,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
8,8,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
9,9,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
10,10,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
11,11,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
12,12,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
13,13,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
14,14,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
15,15,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
16,16,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
17,17,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
18,18,0,4022986a,00dff01e,0040,14da,f,1,4cde,0e
19,19,0,4022986a,00dff01e,0040,14da,f,1,4cde,22
20,20,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
21,21,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
22,22,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
23,23,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
24,24,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
25,25,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
26,26,0,4022986a,00dff01e,0040,14da,f,1,4cde,0e
27,27,0,4022986a,00dff01e,0040,14da,f,1,4cde,22
28,28,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
29,29,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
30,30,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
31,31,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
32,32,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
33,33,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
34,34,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
35,35,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
36,36,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
37,37,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
38,38,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
39,39,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
40,40,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
41,41,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
42,42,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
43,43,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
44,44,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
45,45,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
46,46,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
47,47,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
48,48,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
49,49,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
50,50,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
51,51,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
52,52,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
53,53,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
54,54,0,4022986a,00dff01e,0040,14da,f,1,4cde,0e
55,55,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
56,56,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
57,57,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
58,58,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
59,59,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
60,60,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
61,61,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
62,62,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
63,63,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
64,64,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
65,65,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
66,66,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
67,67,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
68,68,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
69,69,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
70,70,0,4022986a,00dff01e,0040,14da,f,1,4cde,02
71,71,0,4022986a,00dff01e,0040,14da,f,1,4cde,22
72,72,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
73,73,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
74,74,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
75,75,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
76,76,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
77,77,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
78,78,0,4022986a,00dff01e,0040,14da,f,1,4cde,0e
79,79,0,4022986a,00dff01e,0040,14da,f,1,4cde,22
80,80,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
81,81,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
82,82,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
83,83,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
84,84,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
85,85,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
86,86,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
87,87,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
88,88,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
89,89,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
90,90,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
91,91,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
92,92,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
93,93,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
94,94,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
95,95,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
96,96,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
97,97,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
98,98,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
99,99,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
100,100,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
101,101,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
102,102,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
103,103,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
104,104,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
105,105,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
106,106,0,4022986a,00dff01e,0040,14da,f,1,4cde,0e
107,107,0,4022986a,00dff01e,0040,14da,f,1,4cde,22
108,108,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
109,109,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
110,110,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
111,111,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
112,112,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
113,113,0,4022986a,00dff01e,0040,14da,f,1,4cde,1e
114,114,0,4022986a,00dff01e,0040,14da,f,1,4cde,0e
115,115,0,4022986a,00dff01e,0040,14da,f,1,4cde,22
116,116,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
117,117,0,4022986a,00dff01e,0040,14da,f,1,4cde,1d
118,118,0,4022986a,00dff01e,0040,14da,f,1,4cde,0d
119,119,0,4022986a,00dff01e,0040,14da,f,1,4cde,25
120,120,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
121,121,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
122,122,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
123,123,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
124,124,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
125,125,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
126,126,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
127,127,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
128,128,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
129,129,0,4022986a,00dff01e,0040,14da,f,0,4cde,1d
130,130,0,4022986a,00dff01e,0040,14da,f,0,4cde,0d
131,131,0,4022986a,00dff01e,0040,14da,f,0,4cde,25
132,132,0,4022986c,00dff01e,0040,14da,f,0,4cde,1d
133,133,0,4022986c,00dff01e,0040,14da,f,0,4cde,1d
134,134,0,4022986c,00dff01e,0040,14da,f,0,4cde,0d
135,135,0,4022986c,00dff01e,0040,14da,f,0,4cde,25
136,136,0,4022986c,00dff01e,0040,14da,f,1,4cde,1d
137,137,0,4022986c,00dff01e,0040,14da,f,1,4cde,1d
138,138,0,4022986c,00dff01e,0040,14da,f,1,4cde,0d
139,139,0,4022986c,00dff01e,0040,14da,f,1,4cde,25
140,140,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
141,141,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
142,142,0,4022986e,00dff01e,0040,14da,f,1,4cde,0d
143,143,0,4022986e,00dff01e,0040,14da,f,1,4cde,25
144,144,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
145,145,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
146,146,0,4022986e,00dff01e,0040,14da,f,1,4cde,0d
147,147,0,4022986e,00dff01e,0040,14da,f,1,4cde,25
148,148,0,4022986e,00dff01e,0040,14da,f,0,4cde,1d
149,149,0,4022986e,00dff01e,0040,14da,f,0,4cde,1d
150,150,0,4022986e,00dff01e,0040,14da,f,0,4cde,0d
151,151,0,4022986e,00dff01e,0040,14da,f,0,4cde,25
152,152,0,4022986e,00dff01e,0040,14da,f,0,4cde,1d
153,153,0,4022986e,00dff01e,0040,14da,f,0,4cde,1d
154,154,0,4022986e,00dff01e,0040,14da,f,0,4cde,0d
155,155,0,4022986e,00dff01e,0040,14da,f,0,4cde,25
156,156,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
157,157,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
158,158,0,4022986e,00dff01e,0040,14da,f,1,4cde,0d
159,159,0,4022986e,00dff01e,0040,14da,f,1,4cde,25
160,160,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
161,161,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
162,162,0,4022986e,00dff01e,0040,14da,f,1,4cde,0d
163,163,0,4022986e,00dff01e,0040,14da,f,1,4cde,25
164,164,0,4022986e,00dff01e,0040,14da,f,1,4cde,1e
165,165,0,4022986e,00dff01e,0040,14da,f,1,4cde,1e
166,166,0,4022986e,00dff01e,0040,14da,f,1,4cde,0e
167,167,0,4022986e,00dff01e,0040,14da,f,1,4cde,22
168,168,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
169,169,0,4022986e,00dff01e,0040,14da,f,1,4cde,1d
170,170,0,4022986e,00dff01e,0040,14da,f,1,4cde,0d
171,171,0,4022986e,00dff01e,0040,14da,f,1,4cde,25
172,172,0,4022986e,00dff01e,0040,14da,f,1,4cde,1e
173,173,0,4022986e,00dff01e,0040,14da,f,1,4cde,1e
174,174,0,4022986e,00dff01e,0040,14da,f,1,4cde,0e
