Sample in Buffer,Sample in Window,TRIGGER,openaars_virtual_top/dbg_pc[31:0],openaars_virtual_top/tg68_adr[31:0],openaars_virtual_top/tg68_dat_in[15:0],openaars_virtual_top/tg68_dat_out[15:0],openaars_virtual_top/g_cpu040_ila.bus_ctl[3:0],openaars_virtual_top/dbg_flags[3:0],openaars_virtual_top/dbg_ir[15:0],openaars_virtual_top/tg68_cpustate_1[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,4020c3d0,00dff09a,ffff,c000,f,0,48e7,0d
1,1,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,25
2,2,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,1d
3,3,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,1d
4,4,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,0d
5,5,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,25
6,6,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,1d
7,7,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,1d
8,8,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,0d
9,9,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,25
10,10,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,1f
11,11,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,1f
12,12,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,0f
13,13,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
14,14,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
15,15,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
16,16,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
17,17,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,23
18,18,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,1d
19,19,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,1d
20,20,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,0d
21,21,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,25
22,22,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,1f
23,23,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,1f
24,24,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,0f
25,25,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
26,26,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
27,27,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
28,28,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
29,29,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
30,30,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
31,31,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
32,32,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
33,33,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
34,34,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
35,35,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
36,36,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
37,37,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
38,38,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
39,39,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
40,40,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
41,41,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
42,42,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
43,43,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
44,44,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
45,45,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
46,46,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
47,47,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
48,48,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,03
49,49,0,4020c3d0,00dff09a,ffff,c000,f,0,48e7,23
50,50,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,1d
51,51,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,1d
52,52,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,0d
53,53,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,25
54,54,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,1d
55,55,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,1d
56,56,0,4020c3d0,00dff09a,ffff,c000,f,1,48e7,0d
