Sample in Buffer,Sample in Window,TRIGGER,openaars_virtual_top/tg68_ddraddr[25:1],openaars_virtual_top/tg68_cpustate_2[1:0],openaars_virtual_top/tg68_ddrcs,openaars_virtual_top/tg68_cpustate[6:3],openaars_virtual_top/tg68_cuds,openaars_virtual_top/tg68_clds,openaars_virtual_top/tg68_cin[15:0],openaars_virtual_top/tg68_ddrout[15:0],openaars_virtual_top/tg68_ddrena,openaars_virtual_top/tg68_ddrready,openaars_virtual_top/ddr3_dbg_req_rd,openaars_virtual_top/ddr3_dbg_req_be[15:0],openaars_virtual_top/ddr3_dbg_req_addr[31:0],openaars_virtual_top/ddr3_dbg_req_wdata[127:0],openaars_virtual_top/ddr3_dbg_resp_rdata[127:0],openaars_virtual_top/ddr3_dbg_ack_tgl,openaars_virtual_top/ddr3_dbg_bstate[1:0],openaars_virtual_top/ddr3_dbg_sdr_read_req,openaars_virtual_top/ddr3_dbg_sdr_read_ack,openaars_virtual_top/ddr3_dbg_sdr_dat_r[15:0],openaars_virtual_top/ddr3_dbg_sdr_write_req,openaars_virtual_top/ddr3_dbg_sdr_write_ack,openaars_virtual_top/ddr3_dbg_sdr_adr[25:1],openaars_virtual_top/ddr3_dbg_sdr_dat_w[31:0],openaars_virtual_top/ddr3_dbg_sdr_dqm_w[3:0],openaars_virtual_top/g_ddr3_fastram_ila.ddr3_dbg_cdc_state[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
1,1,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
2,2,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
3,3,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
4,4,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
5,5,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
6,6,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
7,7,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
8,8,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
9,9,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
10,10,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
11,11,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
12,12,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
13,13,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
14,14,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
15,15,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
16,16,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
17,17,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
18,18,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
19,19,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
20,20,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
21,21,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
22,22,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
23,23,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
24,24,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
25,25,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
26,26,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
27,27,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
28,28,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
29,29,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
30,30,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
31,31,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
32,32,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
33,33,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
34,34,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
35,35,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
36,36,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
37,37,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
38,38,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
39,39,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
40,40,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
41,41,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
42,42,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
43,43,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
44,44,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
45,45,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
46,46,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
47,47,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
48,48,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
49,49,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
50,50,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
51,51,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
52,52,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
53,53,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
54,54,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
55,55,0,07496c6,2,1,3,0,0,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
56,56,0,07496c6,2,1,3,0,0,0423,0433,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
57,57,0,07496c6,2,1,1,0,0,0423,0433,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
58,58,0,07496c6,2,0,0,0,0,0423,0433,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
59,59,0,07496c6,2,0,0,0,0,0423,0433,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
60,60,0,07496c6,2,0,0,0,0,0423,0433,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
61,61,0,07496c6,2,0,0,0,0,0423,0333,1,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
62,62,0,07496c6,2,0,4,0,0,0423,0333,1,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
63,63,0,07496c6,1,1,3,1,1,0423,0333,1,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
64,64,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
65,65,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
66,66,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
67,67,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
68,68,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
69,69,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
70,70,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
71,71,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
72,72,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
73,73,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
74,74,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
75,75,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
76,76,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
77,77,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
78,78,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
79,79,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
80,80,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
81,81,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
82,82,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
83,83,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
84,84,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
85,85,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
86,86,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
87,87,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
88,88,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
89,89,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
90,90,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
91,91,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
92,92,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
93,93,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
94,94,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
95,95,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
96,96,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
97,97,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
98,98,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
99,99,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
100,100,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
101,101,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
102,102,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
103,103,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
104,104,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
105,105,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
106,106,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
107,107,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
108,108,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
109,109,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
110,110,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
111,111,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
112,112,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
113,113,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
114,114,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
115,115,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
116,116,0,07496c6,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
117,117,0,07496c6,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
118,118,0,07496c6,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
119,119,0,001cb23,3,1,3,0,0,0333,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
120,120,0,001cb23,3,1,3,0,0,0333,0322,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
121,121,0,001cb23,3,1,1,0,0,0333,0322,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
122,122,0,001cb23,3,1,0,0,0,0333,0322,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
123,123,0,001cb23,3,1,0,0,0,0333,0322,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
124,124,0,001cb23,3,1,0,0,0,0333,0322,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
125,125,0,001cb23,3,1,0,0,0,0333,0322,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
